time,user,hostname,pipeline,resize,detector_pre,detector_model,detector_post,extract_roi,landmark_pre,landmark_model,landmark_post,annotate,total,fps
2024-09-28 04:08:26.227204,root,maaxboardosm93,blaze_tflite,0.001736336000249139,0.0013268990001051861,0.010376680999797827,0.0024791639998511528,0.0,0.0,0.0,0.0,0.0,0.015919080000003305,62.81770052036879
2024-09-28 04:08:26.295300,root,maaxboardosm93,blaze_tflite,0.0017023760001393384,0.0013520669999707025,0.01045435100013492,0.0024984159999803524,0.0,0.0,0.0,0.0,0.0,0.016007210000225314,62.471848622334825
2024-09-28 04:08:26.363380,root,maaxboardosm93,blaze_tflite,0.0016939180000008491,0.0013577340000665572,0.010404058000403893,0.0026470480001989927,0.0,0.0,0.0,0.0,0.0,0.016102758000670292,62.10116304041669
2024-09-28 04:08:26.427210,root,maaxboardosm93,blaze_tflite,0.0017078340001717152,0.0013373580000006768,0.010381348000009893,0.002489332000095601,0.0,0.0,0.0,0.0,0.0,0.015915872000277886,62.830362042528385
2024-09-28 04:08:26.495325,root,maaxboardosm93,blaze_tflite,0.0016731659998185933,0.0013464829999065842,0.010375680999914039,0.0026405060002616665,0.0,0.0,0.0,0.0,0.0,0.016035835999900883,62.36032845472983
2024-09-28 04:08:26.559279,root,maaxboardosm93,blaze_tflite,0.0017317940000793897,0.0013377329996728804,0.010396348000085709,0.0024931650000326044,0.0,0.0,0.0,0.0,0.0,0.015959039999870583,62.66041065177538
2024-09-28 04:08:26.627663,root,maaxboardosm93,blaze_tflite,0.0017355029999635008,0.0014443209997807571,0.010407515999759198,0.0027723459998014732,0.0,0.0,0.0,0.0,0.0,0.01635968599930493,61.125867577316995
2024-09-28 04:08:26.695543,root,maaxboardosm93,blaze_tflite,0.0017153349999716738,0.0015677440001127252,0.01040830800002368,0.002555543000198668,0.0,0.0,0.0,0.0,0.0,0.016246930000306747,61.55008976964385
2024-09-28 04:08:26.759523,root,maaxboardosm93,blaze_tflite,0.0016769579997344408,0.001448697000341781,0.010399682000297616,0.002666924000095605,0.0,0.0,0.0,0.0,0.0,0.016192261000469443,61.757897798893445
2024-09-28 04:08:26.827376,root,maaxboardosm93,blaze_tflite,0.001722126999993634,0.0013288159998410265,0.010449392999817064,0.0024975409996841336,0.0,0.0,0.0,0.0,0.0,0.01599787699933586,62.508294071864306
2024-09-28 04:08:26.891242,root,maaxboardosm93,blaze_tflite,0.0016757079997660185,0.0013654009999299888,0.010384306000105425,0.002492747999895073,0.0,0.0,0.0,0.0,0.0,0.015918162999696506,62.82131927026165
2024-09-28 04:08:26.959389,root,maaxboardosm93,blaze_tflite,0.001726211000004696,0.001448529999834136,0.010424349999993865,0.002433537000342767,0.0,0.0,0.0,0.0,0.0,0.016032628000175464,62.372806254162185
2024-09-28 04:08:27.027688,root,maaxboardosm93,blaze_tflite,0.0016971260001810151,0.001459614000395959,0.010408474000087153,0.0027871379998032353,0.0,0.0,0.0,0.0,0.0,0.016352352000467363,61.153282412916454
2024-09-28 04:08:27.091707,root,maaxboardosm93,blaze_tflite,0.001743544000419206,0.0014219459999367245,0.010406224000234943,0.0027790550002464443,0.0,0.0,0.0,0.0,0.0,0.016350769000837317,61.15920296768857
2024-09-28 04:08:27.159482,root,maaxboardosm93,blaze_tflite,0.001733751999836386,0.0013160240000615886,0.010383098000147584,0.0026785909999489377,0.0,0.0,0.0,0.0,0.0,0.016111464999994496,62.067602170276984
2024-09-28 04:08:27.223229,root,maaxboardosm93,blaze_tflite,0.0016995430000861234,0.0013395250002758985,0.010378889000094205,0.0024580799999966985,0.0,0.0,0.0,0.0,0.0,0.015876037000452925,62.98801142699977
